sentence,label
Ma sathi haru sanga basda happy hunchu.,1
Ma movie pachi sad hunchu.,0
Ma naya kura try garna excited hunchu.,1
Ma achanak upahar pauda surprised hunchu.,1
Music sunera ma calm hunchu.,1
Ma weekends ma pizza man parauchu.,1
Ma Italian pasta pakauna man parauchu.,1
Ma stressed huda chocolate khana man parauchu.,1
Ma breakfast ma pancake ra syrup khanchu.,1
Ma healthy rahna tarkari khanchu.,1
Ma ek din Paris ghumna chahanchu.,1
Ma sahar bhitra hidna khojchu.,1
Ma last week pahad ma camping gare.,1
Ma travel garda thorai pack garchu.,1
Ma Japan ma ghumda photo khichchu.,1
Ma usually friday raati movie herchu.,1
Ma weekends ma aafno parivar sanga board games khelchu.,1
Ma sutnu aghi book padhchu.,1
Ma aafno manparne band ko live concert ma gaye.,1
Ma fursad ma drawing garchu.,1
Ma comedy show ma dherai haschu.,1
Ma parks ma roller coasters chadna man parauchu.,1
Ma online ma naya geet sunchu.,1
Ma guitar sikdai chu.,1
Ma mela ma rides ra games ma ramailo garchu.,1
Constitution of Nepal ko publication date ra 2020 samma ko amendments ko number kati chha?,0
"Constitution ko preamble le Nepal ko core values, sovereignty, ra national identity lai kasto reflect garchha, tyo kura bujhnuparne ho.",0
Constitution of Nepal ma k ho recognized national symbols ra languages?,0
Constitution ma citizenship ra nationality ko rights ra provisions k ho?,0
"Constitution le fundamental rights lai kasto define ra protect garchha, jas ma dignity ra freedom sanga jodheko live garne right pani chha?",0
Constitution ma equality ko provisions ra privacy rights ko kura kasto detail ma chha?,0
Constitution ma kasto chha children's ra women's rights ko matter?,0
"Constitutional rights ma education, labor, ra health ko k ho, yo kura?",0
Constitution le property rights ra environment lai kasto protect garchha?,0
"State policies haru kasto chhan national unity, security, ra economic development ko lagi?",0
"Constitution le social ra cultural transformations lai kasto handle garchha, jas ma natural resources ko protection pani aaunchha?",0
"Constitution ko approach foreign relations ra consumer rights ma kasto chha, tyo kura bujhnuparna?",0
"Constitution le discrimination lai kasto tackle garchha ra law ko agadi sabai lai equal paniyeko garchha, jasto ki, dalit haru ko lagi quota system ra women ko lagi reservation.",0
"Bro, Nepal ko judiciary ra legislative bodies ko structure ra role k ho, tyo kura bujhaideu.",0
"Executive power ko structure kasto chha, Prime Minister ra President ko duties sanga?",0
Constitution le local governance ra state power ko division kasto define garchha?,0
Emergency situation ko provisions ra Constitution ko amendment ko process k ho?,0
"Constitution ma public institutions ra officials lai kasto accountable gareko chha, tyo kura ko detail ma bujhaunu parne ho.",0
Minorities ra marginalized communities ko lagi k ho rights ra protections provide gareko chha?,0
Constitutional remedies ra social justice ko lagi k k kura haru chhan?,0
"National defense ko system kasto chha, ra judicial appointment ko process haru k ho?",0
"Impeachment process for public officials in Nepal ko kura garda, sabai bhanne ho ki, yo ekdum tricky ra legal jhamela bhari ho. So, tapai le yo process ko barema thaha pauna ekdum careful hunu parcha.",0
Constitution le kasto ensure garchha financial transparency ra public welfare ma?,0
Constitution ma k kura kura chha social security ko?,0
